New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases
850,8,364,478,39514,976,35886,2652
1240,7,1292,-59,384628,6369,371301,6958
254,3,165,86,33902,817,28080,5005
661,5,482,174,251846,3235,223589,25022
235,10,138,87,169905,7479,127676,34750
274,25,228,21,140100,9942,128017,2141
910,11,154,745,40424,987,36040,3397
1098,4,600,494,385726,6373,371901,7452
118,7,231,-120,34020,824,28311,4885
360,5,389,-34,252206,3240,223978,24988
269,3,80,186,170174,7482,127756,34936
230,21,222,-13,140330,9963,128239,2128
3501,177,5599,-2275,43925,1164,41639,1122
736,6,1600,-870,386462,6379,373501,6582
123,2,183,-62,34143,826,28494,4823
338,4,294,40,252544,3244,224272,25028
195,46,13,136,170369,7528,127769,35072
221,21,196,4,140551,9984,128435,2132
259,0,88,171,44184,1164,41727,1293
523,4,1187,-668,386985,6383,374688,5914
135,1,227,-93,34278,827,28721,4730
910,5,690,215,253454,3249,224962,25243
496,51,2016,-1571,170865,7579,129785,33501
230,30,233,-33,140781,10014,128668,2099
187,0,11,176,44371,1164,41738,1469
487,4,587,-104,387472,6387,375275,5810
233,7,207,19,34511,834,28928,4749
963,68,652,243,254417,3317,225614,25486
593,3,804,-214,171458,7582,130589,33287
295,25,216,54,141076,10039,128884,2153
163,1,128,34,44534,1165,41866,1503
862,9,695,158,388334,6396,375970,5968
272,1,200,71,34783,835,29128,4820
811,2,726,83,255228,3319,226340,25569
534,7,2274,-1747,171992,7589,132863,31540
346,45,370,-69,141422,10084,129254,2084
121,1,38,82,44655,1166,41904,1585
1238,4,485,749,389572,6400,376455,6717
220,5,210,5,35003,840,29338,4825
673,13,1180,-520,255901,3332,227520,25049
796,37,2685,-1926,172788,7626,135548,29614
297,25,219,53,141719,10109,129473,2137
143,4,61,78,44798,1170,41965,1663
1013,10,623,380,390585,6410,377078,7097
222,6,151,65,35225,846,29489,4890
931,22,451,458,256832,3354,227971,25507
569,26,2756,-2213,173357,7652,138304,27401
308,19,249,40,142027,10128,129722,2177
183,1,152,30,45516,1176,42412,1928
828,6,900,-78,394113,6437,381587,6089
232,7,231,-6,35948,869,30365,4714
1456,23,1116,317,261502,3414,230589,27499
857,15,2018,-1176,175435,7702,142225,25508
249,32,225,-8,143053,10245,130765,2043
86,1,102,-17,45602,1177,42514,1911
661,7,614,40,394774,6444,382201,6129
292,5,290,-3,36240,874,30655,4711
1568,17,637,914,263070,3431,231226,28413
714,21,1770,-1077,176149,7723,143995,24431
262,23,279,-40,143315,10268,131044,2003
81,1,95,-15,45683,1178,42609,1896
1330,6,690,634,396104,6450,382891,6763
221,5,267,-51,36461,879,30922,4660
1216,42,1351,-177,264286,3473,232577,28236
840,35,2098,-1293,176989,7758,146093,23138
294,27,228,39,143609,10295,131272,2042
152,3,54,95,45835,1181,42663,1991
980,18,871,91,397084,6468,383762,6854
218,6,201,11,36679,885,31123,4671
998,5,612,381,265284,3478,233189,28617
667,28,1851,-1212,177656,7786,147944,21926
290,22,311,-43,143899,10317,131583,1999
102,9,77,16,45937,1190,42740,2007
1037,18,999,20,398121,6486,384761,6874
158,9,281,-132,36837,894,31404,4539
832,9,696,127,266116,3487,233885,28744
517,2,1782,-1267,178173,7788,149726,20659
285,26,250,9,144184,10343,131833,2008
50,0,249,-199,45987,1190,42989,1808
950,13,987,-50,399071,6499,385748,6824
143,6,225,-88,36980,900,31629,4451
769,9,407,353,266885,3496,234292,29097
395,8,1334,-947,178568,7796,151060,19712
241,19,224,-2,144425,10362,132057,2006
75,1,36,38,46062,1191,43025,1846
973,14,971,-12,400044,6513,386719,6812
170,6,168,-4,37150,906,31797,4447
1422,8,854,560,268307,3504,235146,29657
678,16,1849,-1187,179246,7812,152909,18525
253,30,235,-12,144678,10392,132292,1994
109,1,39,69,46171,1192,43064,1915
460,14,897,-451,400504,6527,387616,6361
210,4,243,-37,37360,910,32040,4410
1399,15,649,735,269706,3519,235795,30392
681,68,2312,-1699,179927,7880,155221,16826
258,35,212,11,144936,10427,132504,2005
70,2,167,-99,46241,1194,43231,1816
602,12,573,17,401106,6539,388189,6378
229,9,242,-22,37589,919,32282,4388
1004,44,2306,-1346,270710,3563,238101,29046
673,81,2045,-1453,180600,7961,157266,15373
303,28,230,45,145239,10455,132734,2050
102,1,93,8,46343,1195,43324,1824
1266,11,652,603,402372,6550,388841,6981
257,8,274,-25,37846,927,32556,4363
1358,28,1337,-7,272068,3591,239438,29039
599,37,1656,-1094,181199,7998,158922,14279
291,25,235,31,145530,10480,132969,2081
173,2,98,73,46516,1197,43422,1897
884,18,721,145,403256,6568,389562,7126
137,5,260,-128,37983,932,32816,4235
1066,23,1031,12,273134,3614,240469,29051
373,45,1532,-1204,181572,8043,160454,13075
300,28,263,9,145830,10508,133232,2090
58,0,122,-64,46574,1197,43544,1833
907,12,885,10,404163,6580,390447,7136
149,4,262,-117,38132,936,33078,4118
630,23,990,-383,273764,3637,241459,28668
316,54,615,-353,181888,8097,161069,12722
257,18,302,-63,146087,10526,133534,2027
80,2,136,-58,46654,1199,43680,1775
896,14,962,-80,405059,6594,391409,7056
223,5,251,-33,38355,941,33329,4085
683,7,397,279,274447,3644,241856,28947
247,0,309,-62,182135,8097,161378,12660
236,20,216,0,146323,10546,133750,2027
220,1,170,49,46874,1200,43850,1824
748,14,1339,-605,405807,6608,392748,6451
184,2,225,-43,38539,943,33554,4042
1941,16,835,1090,276388,3660,242691,30037
643,53,488,102,182778,8150,161866,12762
247,23,263,-39,146570,10569,134013,1988
227,0,197,30,47101,1200,44047,1854
394,17,600,-223,406201,6625,393348,6228
164,5,212,-53,38703,948,33766,3989
1164,17,845,302,277552,3677,243536,30339
353,41,635,-323,183131,8191,162501,12439
237,26,245,-34,146807,10595,134258,1954
60,0,54,6,47161,1200,44101,1860
639,14,682,-57,406840,6639,394030,6171
292,5,200,87,38995,953,33966,4076
1354,14,1032,308,278906,3691,244568,30647
223,57,636,-470,183354,8248,163137,11969
297,23,260,14,147104,10618,134518,1968
110,0,130,-20,47271,1200,44231,1840
987,23,480,484,407827,6662,394510,6655
259,2,313,-56,39254,955,34279,4020
1119,25,1146,-52,280025,3716,245714,30595
581,74,1412,-905,183935,8322,164549,11064
325,25,253,47,147429,10643,134771,2015
72,10,32,30,47343,1210,44263,1870
789,4,539,246,408616,6666,395049,6901
262,1,257,4,39516,956,34536,4024
1179,29,1178,-28,281204,3745,246892,30567
400,73,938,-611,184335,8395,165487,10453
316,22,265,29,147745,10665,135036,2044
53,0,28,25,47396,1210,44291,1895
926,15,793,118,409542,6681,395842,7019
128,4,330,-206,39644,960,34866,3818
754,5,760,-11,281958,3750,247652,30556
198,20,231,-53,184533,8415,165718,10400
231,21,202,8,147976,10686,135238,2052
55,2,68,-15,47451,1212,44359,1880
854,10,984,-140,410396,6691,396826,6879
180,5,308,-133,39824,965,35174,3685
672,7,480,185,282630,3757,248132,30741
